member_id,member,period,action,source
0,M00,4,cover,illustrative
1,M01,1,combined,illustrative
2,M02,3,jacket,illustrative
3,M03,1,acquire_geometry,illustrative
3,M03,2,combined,illustrative
5,M05,2,acquire_geometry,illustrative
5,M05,3,cover,illustrative
5,M05,4,jacket,illustrative
6,M06,5,cover,illustrative
6,M06,6,jacket,illustrative
12,M12,1,cover,illustrative
14,M14,2,cover,illustrative
15,M15,5,cover,illustrative
