member_id,member,period,action,source
1,M01,5,cover,illustrative
2,M02,5,cover,illustrative
4,M04,4,cover,illustrative
6,M06,4,cover,illustrative
10,M10,3,jacket,illustrative
12,M12,2,combined,illustrative
13,M13,1,cover,illustrative
14,M14,1,jacket,illustrative
15,M15,6,cover,illustrative
17,M17,2,cover,illustrative
20,M20,3,cover,illustrative
