configuration,seed,energy,feasible,interventions,geometry_acquisitions,source,jaccard_vs_milp_oracle
flat_prior,31000,110.18457147292793,True,12,1,illustrative,0.29411764705882354
flat_prior,31001,86.49112708470784,True,11,1,illustrative,0.10526315789473684
flat_prior,31002,87.80443741288036,True,10,2,illustrative,0.17647058823529413
flat_prior,31003,99.75114041846246,True,11,1,illustrative,0.16666666666666666
flat_prior,31004,71.20872158929706,True,10,1,illustrative,0.17647058823529413
flat_prior,31005,107.19474011240527,True,12,1,illustrative,0.29411764705882354
flat_prior,31006,112.78883759304881,True,10,1,illustrative,0.17647058823529413
flat_prior,31007,76.8813703765627,True,11,1,illustrative,0.3125
flat_prior,31008,86.77811147877946,True,11,1,illustrative,0.4
flat_prior,31009,61.65987532236613,True,11,2,illustrative,0.10526315789473684
flat_prior,31010,59.30175212933682,True,12,2,illustrative,0.4666666666666667
flat_prior,31011,53.65949621645268,True,12,1,illustrative,0.375
flat_prior,31012,85.46728719503153,True,12,0,illustrative,0.29411764705882354
flat_prior,31013,50.44736241386272,True,10,1,illustrative,0.05263157894736842
flat_prior,31014,100.05768596671987,True,12,1,illustrative,0.375
flat_prior,31015,36.33230484533124,True,10,1,illustrative,0.1111111111111111
flat_prior,31016,83.2928657878656,True,11,0,illustrative,0.05
flat_prior,31017,72.20523255574517,True,10,2,illustrative,0.17647058823529413
flat_prior,31018,49.73057773546316,True,10,2,illustrative,0.05263157894736842
flat_prior,31019,88.88611579046119,True,12,2,illustrative,0.2222222222222222
flat_prior,31020,57.7266933072824,True,12,1,illustrative,0.2222222222222222
flat_prior,31021,63.68435176438652,True,11,4,illustrative,0.05
flat_prior,31022,97.1440359915141,True,11,2,illustrative,0.10526315789473684
flat_prior,31023,68.31449704326224,True,11,0,illustrative,0.16666666666666666
flat_prior,31024,77.55196394841187,True,11,0,illustrative,0.16666666666666666
flat_prior,31025,74.89279091055505,True,11,1,illustrative,0.23529411764705882
flat_prior,31026,92.07159957312979,True,12,0,illustrative,0.15789473684210525
flat_prior,31027,84.3727782596834,True,10,2,illustrative,0.17647058823529413
flat_prior,31028,84.30203288956545,True,11,0,illustrative,0.23529411764705882
flat_prior,31029,57.09441941627301,True,11,2,illustrative,0.23529411764705882
flat_prior,31030,100.28451576433145,True,11,0,illustrative,0.16666666666666666
flat_prior,31031,62.80485116946511,True,11,2,illustrative,0.3125
flat_prior,31032,74.29382497805636,True,12,1,illustrative,0.2222222222222222
flat_prior,31033,81.92490083887242,True,11,1,illustrative,0.0
flat_prior,31034,68.97108795598615,True,11,1,illustrative,0.16666666666666666
flat_prior,31035,79.52131260721944,True,11,1,illustrative,0.10526315789473684
flat_prior,31036,109.15992311341688,True,12,0,illustrative,0.4666666666666667
flat_prior,31037,84.36340768856462,True,12,2,illustrative,0.29411764705882354
flat_prior,31038,54.10276385699399,True,10,1,illustrative,0.17647058823529413
flat_prior,31039,123.80263092194218,True,12,0,illustrative,0.29411764705882354
flat_prior,31040,60.68689619214274,True,11,3,illustrative,0.23529411764705882
flat_prior,31041,80.35284227668308,True,11,1,illustrative,0.05
flat_prior,31042,47.90355564211495,True,11,0,illustrative,0.23529411764705882
flat_prior,31043,77.45208842947613,True,11,0,illustrative,0.16666666666666666
flat_prior,31044,91.12503612053115,True,11,2,illustrative,0.16666666666666666
flat_prior,31045,80.18780569580849,True,10,1,illustrative,0.1111111111111111
flat_prior,31046,78.46338384062983,True,12,2,illustrative,0.15789473684210525
flat_prior,31047,74.01205210830085,True,11,0,illustrative,0.23529411764705882
flat_prior,31048,91.50963646254968,True,11,1,illustrative,0.23529411764705882
flat_prior,31049,51.02177247754298,True,11,1,illustrative,0.23529411764705882
sparse_prior,32000,88.32806575391442,True,11,1,illustrative,0.23529411764705882
sparse_prior,32001,115.45279004890472,True,11,0,illustrative,0.16666666666666666
sparse_prior,32002,106.90398504893528,True,11,0,illustrative,0.10526315789473684
sparse_prior,32003,71.88020918006077,True,10,1,illustrative,0.3333333333333333
sparse_prior,32004,100.34325650404207,True,11,1,illustrative,0.16666666666666666
sparse_prior,32005,90.72344279050594,True,11,0,illustrative,0.16666666666666666
sparse_prior,32006,106.14044554065913,True,11,1,illustrative,0.16666666666666666
sparse_prior,32007,64.8750342723215,True,10,1,illustrative,0.25
sparse_prior,32008,87.82800509792287,True,12,0,illustrative,0.29411764705882354
sparse_prior,32009,112.69483117538039,True,11,0,illustrative,0.23529411764705882
sparse_prior,32010,129.54195452918066,True,12,0,illustrative,0.15789473684210525
sparse_prior,32011,42.45509066211525,True,11,1,illustrative,0.10526315789473684
sparse_prior,32012,97.18128298805095,True,11,0,illustrative,0.23529411764705882
sparse_prior,32013,105.02674134436529,True,11,0,illustrative,0.3125
sparse_prior,32014,77.59161995409522,True,10,0,illustrative,0.17647058823529413
sparse_prior,32015,107.53520655503962,True,11,0,illustrative,0.10526315789473684
sparse_prior,32016,68.65824652276933,True,11,1,illustrative,0.23529411764705882
sparse_prior,32017,125.96502958587371,True,12,0,illustrative,0.047619047619047616
sparse_prior,32018,74.89039717672858,True,11,1,illustrative,0.3125
