cover_mean_benefit,jacket_mean_benefit,combined_mean_benefit,member,source
3.1531485966125308,3.276386391419696,7.468651424623165,M00,illustrative
4.365033218897747,6.92816502535554,12.139354808658945,M01,illustrative
4.6130768989990365,4.971146071214111,10.129024449111078,M02,illustrative
2.8065250364624195,3.9269708245418093,7.734021655733001,M03,illustrative
0.19696829276094074,0.015579004113418381,0.20448094593746363,M04,illustrative
3.4256201547118854,5.200159777537403,9.789694186789383,M05,illustrative
2.434455586845773,5.49312210521087,8.170544585565002,M06,illustrative
0.8469796832716038,0.03881687707755975,0.8697942308369832,M07,illustrative
0.0005052387781987219,0.01260777797618647,0.01462773078976761,M08,illustrative
1.010864388759121,1.632103470856405,2.6313422547675582,M09,illustrative
0.9018776588093288,1.7972211468017727,2.7976473288766366,M10,illustrative
0.00025865340806853336,0.018853325076190815,0.021310953085233023,M11,illustrative
2.4057257535760113,1.1605971172739329,3.648938076219194,M12,illustrative
0.7120998634683429,0.6535836197419785,1.4350731150642575,M13,illustrative
1.89703612928977,1.8177203911203652,3.823540886932872,M14,illustrative
1.7825825457204836,0.3065290312788164,2.101012621255735,M15,illustrative
0.25187583919804923,0.1352505706649539,0.4003660696170017,M16,illustrative
0.5404958391119461,0.27669813534060234,0.8419161117185409,M17,illustrative
0.08246856552162976,0.02717967977355191,0.11072430976107611,M18,illustrative
0.0,0.0009616735922644991,0.0010524460304682669,M19,illustrative
0.04717468288801127,0.08378317796167625,0.13402278493079794,M20,illustrative
