cover_benefit_variance,jacket_benefit_variance,combined_benefit_variance,member,source
15.977684105539888,8.014114811760143,39.06143674174819,M00,illustrative
31.49559444650863,33.79049011975666,121.11633376459558,M01,illustrative
3.2680948130821306,9.417179981355554,20.395832242461093,M02,illustrative
7.812220723556762,7.978430565758915,28.792064200154613,M03,illustrative
0.23608774786604558,0.008345313578282512,0.24404163627250766,M04,illustrative
20.659647461020256,50.98922860835413,79.32855407017679,M05,illustrative
7.132842284513518,23.84463312367141,51.90755234784236,M06,illustrative
0.14582265812999026,0.007768123863963071,0.16469859855379113,M07,illustrative
6.3244369952566175e-06,0.0004529875300728534,0.0005744072247423366,M08,illustrative
0.1934849768638486,1.4962087200255076,2.4649153179953736,M09,illustrative
1.8317873465456247,3.12712101620991,7.196029396955598,M10,illustrative
4.389748766152924e-06,0.001542923105270416,0.0019547382118075816,M11,illustrative
1.5538384614469365,1.5133684076043856,4.036804115781104,M12,illustrative
1.087417366885251,0.6602852153781595,2.636465345073421,M13,illustrative
7.424088340507927,5.3716308915712645,19.757420214250768,M14,illustrative
0.9196495965349136,0.1268619790989877,1.0435413607151693,M15,illustrative
0.14026356583897237,0.04847943810197241,0.24887109005928665,M16,illustrative
0.9204743499459921,0.15182579462502196,1.253879252757631,M17,illustrative
0.004127507174769219,0.001468948281968943,0.005497775238622347,M18,illustrative
0.0,5.978851359502478e-05,7.640913122673322e-05,M19,illustrative
0.006237708567906758,0.011818169399394564,0.02879029142508289,M20,illustrative
