member_i,member_j,action_i,action_j,solver_pair_benefit,solver_single_benefit_sum,interaction_utility,derivation,source
0,1,jacket,jacket,7.418353244510847,7.527095858393054,-0.10874261388220674,paired frame-solver finite difference,illustrative
0,1,jacket,combined,9.935695122682873,10.340238104157855,-0.40454298147498235,paired frame-solver finite difference,illustrative
0,1,combined,jacket,10.31364905194442,10.727310451304444,-0.41366139936002355,paired frame-solver finite difference,illustrative
0,1,combined,combined,12.759559107992438,13.540452697069245,-0.7808935890768076,paired frame-solver finite difference,illustrative
0,2,jacket,jacket,7.236880148794551,7.466079132178276,-0.2291989833837249,paired frame-solver finite difference,illustrative
0,2,jacket,combined,11.566806713550726,12.336101886498252,-0.7692951729475261,paired frame-solver finite difference,illustrative
0,2,combined,jacket,10.105531740654872,10.666293725089666,-0.5607619844347944,paired frame-solver finite difference,illustrative
0,2,combined,combined,14.33361573219253,15.536316479409642,-1.2027007472171114,paired frame-solver finite difference,illustrative
0,3,jacket,combined,9.811614800070547,10.195491833021109,-0.3838770329505614,paired frame-solver finite difference,illustrative
0,3,combined,jacket,9.781389405324408,10.163529980255337,-0.38214057493092923,paired frame-solver finite difference,illustrative
0,3,combined,combined,12.554463678361731,13.395706425932499,-0.8412427475707673,paired frame-solver finite difference,illustrative
0,4,combined,combined,6.5265597908380535,6.531331149687887,-0.004771358849833263,paired frame-solver finite difference,illustrative
0,5,jacket,jacket,7.333419901711213,7.106211308359125,0.22720859335208843,paired frame-solver finite difference,illustrative
0,5,jacket,combined,9.51490099840413,9.240601546403155,0.2742994520009745,paired frame-solver finite difference,illustrative
0,5,combined,jacket,10.624115583112737,10.306425901270515,0.31768968184222146,paired frame-solver finite difference,illustrative
0,5,combined,combined,12.818538225476654,12.440816139314546,0.3777220861621089,paired frame-solver finite difference,illustrative
0,6,jacket,jacket,7.427697607796162,7.311497610041826,0.11619999775433598,paired frame-solver finite difference,illustrative
0,6,jacket,combined,9.612066879274561,9.47190879682072,0.14015808245384065,paired frame-solver finite difference,illustrative
0,6,combined,jacket,10.667055493545128,10.511712202953216,0.15534329059191165,paired frame-solver finite difference,illustrative
0,6,combined,combined,12.856887555979224,12.67212338973211,0.18476416624711334,paired frame-solver finite difference,illustrative
0,7,jacket,jacket,3.33962819924448,3.334438023442008,0.005190175802471941,paired frame-solver finite difference,illustrative
0,7,jacket,combined,4.06359710740217,4.0431158057445415,0.020481301657628848,paired frame-solver finite difference,illustrative
0,7,combined,jacket,6.541032686458408,6.534652616353398,0.00638007010500985,paired frame-solver finite difference,illustrative
0,7,combined,combined,7.2666635188787865,7.243330398655932,0.02333312022285483,paired frame-solver finite difference,illustrative
0,9,combined,jacket,7.669517681582434,7.673810041189739,-0.0042923596073052295,paired frame-solver finite difference,illustrative
0,9,combined,combined,8.538889737688802,8.545726086019254,-0.006836348330452324,paired frame-solver finite difference,illustrative
0,10,jacket,jacket,4.533879239826533,4.477001119652133,0.05687812017439953,paired frame-solver finite difference,illustrative
0,10,jacket,combined,5.040602951905004,4.983899842931354,0.056703108973650274,paired frame-solver finite difference,illustrative
0,10,combined,jacket,7.734849875142125,7.677215712563523,0.05763416257860143,paired frame-solver finite difference,illustrative
0,10,combined,combined,8.240920438325752,8.184114435842744,0.05680600248300749,paired frame-solver finite difference,illustrative
0,12,jacket,jacket,3.9365673212178898,3.9540296259082197,-0.017462304690329944,paired frame-solver finite difference,illustrative
0,12,jacket,combined,6.41451456182244,6.219135253519461,0.19537930830297867,paired frame-solver finite difference,illustrative
0,12,combined,jacket,7.143526013677928,7.15424421881961,-0.010718205141682091,paired frame-solver finite difference,illustrative
0,12,combined,combined,9.645475006594406,9.419349846430851,0.226125160163555,paired frame-solver finite difference,illustrative
0,13,jacket,combined,3.466196117756084,3.472555897470091,-0.006359779714006919,paired frame-solver finite difference,illustrative
0,13,combined,jacket,6.6202730812544175,6.626914238078143,-0.00664115682372568,paired frame-solver finite difference,illustrative
0,13,combined,combined,6.662081585724238,6.672770490381481,-0.01068890465724337,paired frame-solver finite difference,illustrative
0,14,jacket,jacket,3.95638954846266,3.903218018599599,0.05317152986306084,paired frame-solver finite difference,illustrative
0,14,jacket,combined,4.347525314585745,4.304986827477588,0.042538487108156886,paired frame-solver finite difference,illustrative
0,14,combined,jacket,7.139322317780223,7.103432611510989,0.03588970626923427,paired frame-solver finite difference,illustrative
0,14,combined,combined,7.525909388429959,7.505201420388978,0.020707968040980518,paired frame-solver finite difference,illustrative
0,15,jacket,jacket,3.4367150524908396,3.4226247149295475,0.014090337561292188,paired frame-solver finite difference,illustrative
0,15,combined,jacket,6.636255031628053,6.6228393078409376,0.013415723787115752,paired frame-solver finite difference,illustrative
0,18,combined,combined,6.5935543707057676,6.589235992660516,0.004318378045251592,paired frame-solver finite difference,illustrative
1,2,jacket,jacket,8.80011541283137,8.345452074022948,0.45466333880842313,paired frame-solver finite difference,illustrative
1,2,jacket,combined,13.227870561373596,13.215474828342924,0.012395733030672318,paired frame-solver finite difference,illustrative
1,2,combined,jacket,11.354672154018832,11.158594319787749,0.19607783423108316,paired frame-solver finite difference,illustrative
1,2,combined,combined,15.806999719086203,16.028617074107725,-0.2216173550215217,paired frame-solver finite difference,illustrative
1,3,jacket,jacket,7.588613245221936,7.8426883291886185,-0.25407508396668277,paired frame-solver finite difference,illustrative
1,3,jacket,combined,10.486645452609427,11.07486477486578,-0.5882193222563536,paired frame-solver finite difference,illustrative
1,3,combined,jacket,10.100130386950124,10.65583057495342,-0.5557001880032963,paired frame-solver finite difference,illustrative
1,3,combined,combined,12.924599674727624,13.888007020630582,-0.963407345902958,paired frame-solver finite difference,illustrative
1,5,jacket,jacket,7.823408246719676,7.985584250203797,-0.1621760034841202,paired frame-solver finite difference,illustrative
1,5,jacket,combined,9.871641932178221,10.119974488247827,-0.24833255606960591,paired frame-solver finite difference,illustrative
1,5,combined,jacket,10.527957960935286,10.798726495968598,-0.2707685350333122,paired frame-solver finite difference,illustrative
1,5,combined,combined,12.55511188231111,12.933116734012629,-0.3780048517015189,paired frame-solver finite difference,illustrative
1,6,jacket,jacket,8.99911326717076,8.190870551886498,0.808242715284262,paired frame-solver finite difference,illustrative
1,6,jacket,combined,11.161543519907884,10.351281738665392,0.8102617812424917,paired frame-solver finite difference,illustrative
1,6,combined,jacket,11.932789488659399,11.0040127976513,0.9287766910080997,paired frame-solver finite difference,illustrative
1,6,combined,combined,14.097318441525193,13.164423984430194,0.9328944570949993,paired frame-solver finite difference,illustrative
1,7,jacket,combined,4.928367481075124,4.922488747589213,0.0058787334859111695,paired frame-solver finite difference,illustrative
1,7,combined,jacket,7.031422391886526,7.026953211051481,0.004469180835044995,paired frame-solver finite difference,illustrative
1,7,combined,combined,7.7422089790212745,7.735630993354015,0.006577985667259867,paired frame-solver finite difference,illustrative
1,9,jacket,jacket,5.457160072305065,5.352968390123021,0.10419168218204433,paired frame-solver finite difference,illustrative
1,9,jacket,combined,6.339274741855672,6.224884434952536,0.11439030690313601,paired frame-solver finite difference,illustrative
