member_id,member,period,action,source
1,M01,2,combined,illustrative
2,M02,1,cover,illustrative
6,M06,3,combined,illustrative
9,M09,5,cover,illustrative
12,M12,2,cover,illustrative
13,M13,1,combined,illustrative
14,M14,3,cover,illustrative
15,M15,4,cover,illustrative
16,M16,5,cover,illustrative
17,M17,4,combined,illustrative
