member_id,member,period,action,source
1,M01,2,acquire_geometry,illustrative
1,M01,3,cover,illustrative
2,M02,1,combined,illustrative
3,M03,5,combined,illustrative
5,M05,6,combined,illustrative
6,M06,1,acquire_geometry,illustrative
6,M06,2,cover,illustrative
6,M06,3,jacket,illustrative
8,M08,1,cover,illustrative
10,M10,5,cover,illustrative
12,M12,2,cover,illustrative
14,M14,4,cover,illustrative
15,M15,4,cover,illustrative
