member_id,member,period,action,source
1,M01,1,combined,illustrative
2,M02,2,cover,illustrative
3,M03,5,cover,illustrative
5,M05,3,cover,illustrative
6,M06,4,cover,illustrative
6,M06,5,jacket,illustrative
9,M09,1,cover,illustrative
12,M12,3,cover,illustrative
14,M14,4,combined,illustrative
15,M15,2,combined,illustrative
