member_id,member,period,action,source
0,M00,4,cover,illustrative
1,M01,2,combined,illustrative
2,M02,5,combined,illustrative
3,M03,2,cover,illustrative
5,M05,3,combined,illustrative
9,M09,1,cover,illustrative
10,M10,3,cover,illustrative
12,M12,5,cover,illustrative
14,M14,4,cover,illustrative
15,M15,1,cover,illustrative
